Timestamp,Emotion
2025-11-03 01:12:49,Sad
2025-11-03 01:12:49,Sad
2025-11-03 01:12:49,Neutral
2025-11-03 01:12:49,Sad
2025-11-03 01:12:49,Neutral
2025-11-03 01:12:50,Sad
2025-11-03 01:12:50,Sad
2025-11-03 01:12:50,Sad
2025-11-03 01:12:50,Neutral
2025-11-03 01:12:50,Sad
2025-11-03 01:12:51,Angry
2025-11-03 01:12:51,Angry
2025-11-03 01:12:51,Angry
2025-11-03 01:12:51,Angry
2025-11-03 01:12:51,Angry
2025-11-03 01:12:52,Angry
2025-11-03 01:12:52,Angry
2025-11-03 01:12:52,Angry
2025-11-03 01:12:52,Angry
2025-11-03 01:12:52,Angry
2025-11-03 01:12:53,Angry
2025-11-03 01:12:55,Angry
2025-11-03 01:12:55,Sad
2025-11-03 01:12:55,Fear
2025-11-03 01:12:55,Sad
2025-11-03 01:12:56,Sad
2025-11-03 01:12:56,Sad
2025-11-03 01:12:56,Neutral
2025-11-03 01:12:56,Neutral
2025-11-03 01:12:56,Sad
2025-11-03 01:12:57,Happy
2025-11-03 01:12:57,Happy
2025-11-03 01:12:57,Happy
2025-11-03 01:12:57,Happy
2025-11-03 01:12:57,Happy
2025-11-03 01:12:58,Neutral
2025-11-03 01:12:58,Neutral
2025-11-03 01:12:58,Neutral
2025-11-03 01:12:58,Neutral
2025-11-03 01:12:58,Fear
2025-11-03 01:12:59,Angry
2025-11-03 01:12:59,Angry
2025-11-03 01:12:59,Angry
2025-11-03 01:13:00,Angry
2025-11-03 01:13:00,Sad
2025-11-03 01:13:00,Sad
2025-11-03 01:13:00,Sad
2025-11-03 01:13:00,Sad
2025-11-03 01:13:01,Sad
2025-11-03 01:13:01,Sad
2025-11-03 01:13:01,Sad
2025-11-03 01:13:01,Sad
2025-11-03 01:13:01,Neutral
2025-11-03 01:13:02,Fear
2025-11-03 01:13:02,Neutral
2025-11-03 01:13:03,Angry
2025-11-03 01:13:03,Happy
2025-11-03 01:13:04,Happy
2025-11-03 01:13:04,Happy
2025-11-03 01:13:04,Angry
2025-11-03 01:13:04,Happy
2025-11-03 01:13:04,Happy
2025-11-03 01:13:05,Happy
2025-11-03 01:13:05,Happy
2025-11-03 01:13:05,Happy
2025-11-03 01:13:05,Happy
2025-11-03 01:13:05,Happy
2025-11-03 01:13:05,Surprise
2025-11-03 01:13:06,Neutral
2025-11-03 01:13:06,Surprise
